model,domain,question_id,pred_date,target_date,actual_date,unit,current_value,actual_value,point_estimate,ci_50_low,ci_50_high,ci_80_low,ci_80_high,ci_90_low,ci_90_high,hit_50,hit_80,hit_90,brier_score
claude,weather,weather_Seattle_WA,2026-03-25,2026-03-26,2026-03-26,°F,49.3,49.3,47.0,45.0,49.0,43.0,51.0,41.0,53.0,0.0,1.0,1.0,0.0021765158465988288
claude,weather,weather_Seattle_WA,2026-03-26,2026-03-27,,°F,49.0,,51.0,49.0,53.0,47.0,55.0,45.0,57.0,,,,
gemini,commodities,commodities_CLF,2026-03-25,2026-03-26,2026-03-26,USD/bbl,91.1999969482422,94.87999725341795,91.3,90.55,92.05,89.9,92.7,89.5,93.1,0.0,0.0,0.0,0.0015409045562348722
gemini,commodities,commodities_CLF,2026-03-26,2026-03-27,,USD/bbl,94.6999969482422,,94.7,93.69,95.71,92.78,96.62,92.23,97.17,,,,
gemini,commodities,commodities_GCF,2026-03-25,2026-03-26,2026-03-26,USD/oz,4535.5,4392.7001953125,4535.5,4505.02,4565.98,4477.56,4593.44,4460.67,4610.33,0.0,0.0,0.0,0.0009912994935998122
gemini,commodities,commodities_GCF,2026-03-26,2026-03-27,,USD/oz,4382.5,,4384.0,4361.85,4406.15,4341.86,4426.14,4329.96,4438.04,,,,
gemini,commodities,commodities_HGF,2026-03-25,2026-03-26,2026-03-26,USD/lb,5.541999816894531,5.487500190734863,5.54,5.49,5.59,5.45,5.63,5.43,5.65,0.0,1.0,1.0,8.973925029199369e-05
gemini,commodities,commodities_HGF,2026-03-26,2026-03-27,,USD/lb,5.484000205993652,,5.48,5.44,5.52,5.4,5.56,5.37,5.59,,,,
gemini,commodities,commodities_NGF,2026-03-25,2026-03-26,2026-03-26,USD/MMBtu,2.927999973297119,2.9579999446868896,2.94,2.91,2.97,2.87,3.01,2.83,3.05,1.0,1.0,1.0,3.779202856729852e-05
gemini,commodities,commodities_NGF,2026-03-26,2026-03-27,,USD/MMBtu,2.961999893188477,,2.96,2.89,3.03,2.83,3.09,2.79,3.13,,,,
gemini,commodities,commodities_SIF,2026-03-25,2026-03-26,2026-03-26,USD/oz,72.1500015258789,68.08000183105469,72.15,71.3,73.0,70.6,73.7,70.2,74.1,0.0,0.0,0.0,0.0031821140304673654
gemini,commodities,commodities_SIF,2026-03-26,2026-03-27,,USD/oz,67.84500122070312,,67.9,67.55,68.25,67.2,68.6,66.85,68.95,,,,
gemini,crypto,crypto_ADA,2026-03-25,2026-03-26,2026-03-26,USD,0.270257,0.2699890266304743,0.274,0.27,0.278,0.26,0.288,0.252,0.296,0.0,1.0,1.0,0.00022026508140957608
gemini,crypto,crypto_ADA,2026-03-26,2026-03-27,,USD,0.255556,,0.25,0.24,0.26,0.23,0.27,0.22,0.28,,,,
gemini,crypto,crypto_AVAX,2026-03-25,2026-03-26,2026-03-26,USD,9.67,9.662242689138962,9.94,9.79,10.09,9.59,10.29,9.39,10.49,0.0,1.0,1.0,0.0008250457842703216
gemini,crypto,crypto_AVAX,2026-03-26,2026-03-27,,USD,9.16,,8.95,8.64,9.26,8.32,9.58,7.97,9.93,,,,
gemini,crypto,crypto_BNB,2026-03-25,2026-03-26,2026-03-26,USD,646.55,647.3180223384383,652.0,640.0,664.0,622.0,682.0,592.0,712.0,1.0,1.0,1.0,5.2439004983329264e-05
gemini,crypto,crypto_BNB,2026-03-26,2026-03-27,,USD,626.93,,622.0,606.5,637.5,585.0,659.0,560.0,684.0,,,,
gemini,crypto,crypto_BTC,2026-03-25,2026-03-26,2026-03-26,USD,70885.0,71309.26403856269,72234.0,71451.0,73012.0,70176.0,74429.0,68758.0,75787.0,0.0,1.0,1.0,0.0001701871660527199
gemini,crypto,crypto_BTC,2026-03-26,2026-03-27,,USD,68905.0,,68400.0,66700.0,70100.0,65000.0,71800.0,62900.0,73900.0,,,,
gemini,crypto,crypto_DOGE,2026-03-25,2026-03-26,2026-03-26,USD,0.096173,0.0959970640682465,0.101,0.099,0.103,0.097,0.105,0.094,0.108,0.0,0.0,1.0,0.0027060982191806026
gemini,crypto,crypto_DOGE,2026-03-26,2026-03-27,,USD,0.090995,,0.089,0.086,0.093,0.081,0.099,0.074,0.106,,,,
gemini,crypto,crypto_DOT,2026-03-25,2026-03-26,,USD,1.37,,1.37,1.35,1.39,1.32,1.42,1.27,1.47,,,,
gemini,crypto,crypto_DOT,2026-03-26,2026-03-27,,USD,1.32,,1.3,1.27,1.33,1.25,1.35,1.22,1.38,,,,
gemini,crypto,crypto_ETH,2026-03-25,2026-03-26,,USD,2165.96,,2187.62,2154.8,2220.44,2110.06,2264.49,2066.08,2307.47,,,,
gemini,crypto,crypto_ETH,2026-03-26,2026-03-27,,USD,2060.63,,2045.0,2014.33,2075.68,1963.2,2126.8,1901.85,2188.15,,,,
gemini,crypto,crypto_LINK,2026-03-25,2026-03-26,,USD,9.33,,9.55,9.4,9.69,9.22,9.89,9.02,10.08,,,,
gemini,crypto,crypto_LINK,2026-03-26,2026-03-27,,USD,8.91,,8.73,8.55,8.91,8.37,9.09,8.2,9.26,,,,
gemini,crypto,crypto_SOL,2026-03-25,2026-03-26,,USD,91.75,,93.1,90.8,95.4,87.5,98.7,83.8,102.4,,,,
gemini,crypto,crypto_SOL,2026-03-26,2026-03-27,,USD,87.16,,87.5,85.31,89.69,82.25,92.75,79.63,95.38,,,,
gemini,crypto,crypto_XRP,2026-03-25,2026-03-26,,USD,1.41,,1.42,1.4,1.43,1.38,1.46,1.36,1.48,,,,
gemini,crypto,crypto_XRP,2026-03-26,2026-03-27,,USD,1.36,,1.35,1.32,1.38,1.27,1.43,1.2,1.5,,,,
gemini,forex,forex_AUD_USD,2026-03-25,2026-03-26,2026-03-26,AUD/USD,0.6950380802154541,0.6897788047790527,0.695,0.6943,0.6957,0.693,0.697,0.6915,0.6985,0.0,0.0,0.0,5.643163902932223e-05
gemini,forex,forex_AUD_USD,2026-03-26,2026-03-27,,AUD/USD,0.6899882555007935,,0.69,0.6875,0.6925,0.6855,0.6945,0.6835,0.6965,,,,
gemini,forex,forex_EUR_USD,2026-03-25,2026-03-26,2026-03-26,EUR/USD,1.1564704179763794,1.1536686420440674,1.1565,1.1518,1.1612,1.1477,1.1653,1.1451,1.1679,1.0,1.0,1.0,5.994051929434128e-06
gemini,forex,forex_EUR_USD,2026-03-26,2026-03-27,,EUR/USD,1.1539349555969238,,1.1539,1.1509,1.1569,1.1481,1.1597,1.1465,1.1613,,,,
gemini,forex,forex_GBP_USD,2026-03-25,2026-03-26,2026-03-26,GBP/USD,1.3361374139785769,1.3338810205459597,1.3361,1.3321,1.3401,1.3284,1.3438,1.3262,1.346,1.0,1.0,1.0,2.7580638236983753e-06
gemini,forex,forex_GBP_USD,2026-03-26,2026-03-27,,GBP/USD,1.333785057067871,,1.334,1.3286,1.3394,1.3237,1.3443,1.3208,1.3472,,,,
gemini,forex,forex_NZD_USD,2026-03-25,2026-03-26,2026-03-26,NZD/USD,0.5809224843978882,0.5767678022384644,0.5809,0.5792,0.5826,0.5777,0.5841,0.5768,0.585,0.0,0.0,0.0,5.0597123120412476e-05
gemini,forex,forex_NZD_USD,2026-03-26,2026-03-27,,NZD/USD,0.5769674777984619,,0.577,0.5746,0.5794,0.5725,0.5815,0.5712,0.5828,,,,
gemini,forex,forex_USD_CAD,2026-03-25,2026-03-26,2026-03-26,USD/CAD,1.3816499710083008,1.3851699829101562,1.3817,1.38,1.3834,1.3785,1.3849,1.3776,1.3858,0.0,0.0,1.0,6.307519578715724e-06
gemini,forex,forex_USD_CAD,2026-03-26,2026-03-27,,USD/CAD,1.3839000463485718,,1.3839,1.382,1.3858,1.3803,1.3875,1.3793,1.3885,,,,
gemini,forex,forex_USD_CHF,2026-03-25,2026-03-26,2026-03-26,USD/CHF,0.791949987411499,0.7944999933242798,0.7919,0.7895,0.7943,0.7874,0.7964,0.7861,0.7977,0.0,1.0,1.0,1.0778267385084283e-05
gemini,forex,forex_USD_CHF,2026-03-26,2026-03-27,,USD/CHF,0.7943599820137024,,0.7944,0.7912,0.7976,0.7883,0.8005,0.7866,0.8022,,,,
gemini,forex,forex_USD_JPY,2026-03-25,2026-03-26,2026-03-26,USD/JPY,159.47300720214844,159.67599487304688,159.55,159.4,159.7,159.15,159.95,158.9,160.2,1.0,1.0,1.0,6.242109442334655e-07
gemini,forex,forex_USD_JPY,2026-03-26,2026-03-27,,USD/JPY,159.66000366210938,,159.66,158.58,160.74,157.61,161.71,157.03,162.29,,,,
gemini,forex,forex_USD_MXN,2026-03-25,2026-03-26,2026-03-26,USD/MXN,17.76664924621582,17.81329917907715,17.7666,17.7194,17.8138,17.6769,17.8563,17.6515,17.8818,1.0,1.0,1.0,6.9088765943293455e-06
gemini,forex,forex_USD_MXN,2026-03-26,2026-03-27,,USD/MXN,17.798999786376953,,17.799,17.7391,17.8589,17.6849,17.9131,17.6525,17.9455,,,,
gemini,nba,nba_ATL_BOS_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,235.0,228.0,242.0,222.0,248.0,218.0,252.0,,,,
gemini,nba,nba_BKN_LAL_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,223.0,213.0,233.0,204.0,242.0,198.0,248.0,,,,
gemini,nba,nba_CHI_OKC_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,234.0,229.0,239.0,225.0,243.0,222.0,246.0,,,,
gemini,nba,nba_DAL_POR_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,230.0,226.0,234.0,223.0,237.0,220.0,240.0,,,,
gemini,nba,nba_HOU_MEM_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,234.0,222.0,246.0,211.0,257.0,204.0,264.0,,,,
gemini,nba,nba_LAC_IND_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,234.0,227.0,241.0,220.0,248.0,216.0,252.0,,,,
gemini,nba,nba_MIA_CLE_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,218.0,210.0,226.0,203.0,233.0,198.0,238.0,,,,
gemini,nba,nba_NO_DET_2026-03-26,2026-03-25,2026-03-26,,total points,0.0,,228.0,216.0,240.0,205.0,251.0,198.0,258.0,,,,
gemini,nba,nba_NO_TOR_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,225.0,220.0,230.0,215.0,235.0,210.0,240.0,,,,
gemini,nba,nba_NY_CHA_2026-03-26,2026-03-25,2026-03-26,,total points,0.0,,225.0,215.0,235.0,207.0,243.0,197.0,253.0,,,,
gemini,nba,nba_SAC_ORL_2026-03-26,2026-03-25,2026-03-26,,total points,0.0,,220.0,212.0,228.0,205.0,235.0,200.0,240.0,,,,
gemini,nba,nba_UTAH_DEN_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,228.0,223.0,233.0,218.0,238.0,210.0,246.0,,,,
gemini,nba,nba_WSH_GS_2026-03-27,2026-03-26,2026-03-27,,total points,0.0,,231.0,223.0,239.0,216.0,246.0,211.0,251.0,,,,
gemini,stocks,stocks_AAPL,2026-03-25,2026-03-26,2026-03-26,USD,252.6511993408203,255.0399932861328,252.65,250.95,254.35,249.41,255.89,248.49,256.81,0.0,1.0,1.0,8.94850805841804e-05
gemini,stocks,stocks_AAPL,2026-03-26,2026-03-27,,USD,256.2200012207031,,256.4,255.4,257.4,253.9,258.9,252.4,260.4,,,,
gemini,stocks,stocks_AMZN,2026-03-25,2026-03-26,2026-03-26,USD,211.2100067138672,209.30999755859372,211.21,208.52,213.9,206.09,216.33,204.64,217.78,1.0,1.0,1.0,8.092437189731088e-05
gemini,stocks,stocks_AMZN,2026-03-26,2026-03-27,,USD,210.13499450683597,,210.13,207.58,212.68,205.28,214.98,203.92,216.34,,,,
gemini,stocks,stocks_AVGO,2026-03-25,2026-03-26,2026-03-26,USD,316.9100036621094,312.5599975585937,316.91,313.71,320.11,310.82,323.0,309.1,324.72,0.0,1.0,1.0,0.00018841136870186823
gemini,stocks,stocks_AVGO,2026-03-26,2026-03-27,,USD,311.4649963378906,,311.6,309.26,313.94,306.15,317.05,303.03,320.17,,,,
gemini,stocks,stocks_BRK-B,2026-03-25,2026-03-26,2026-03-26,USD,478.5249938964844,475.2200012207031,478.52,475.29,481.75,472.39,484.65,470.65,486.39,0.0,1.0,1.0,4.755742215196108e-05
gemini,stocks,stocks_BRK-B,2026-03-26,2026-03-27,,USD,475.8399963378906,,475.84,472.63,479.05,469.73,481.95,468.01,483.67,,,,
gemini,stocks,stocks_COST,2026-03-25,2026-03-26,2026-03-26,USD,975.1900024414062,985.219970703125,976.0,971.12,980.88,966.24,985.76,961.36,990.64,0.0,1.0,1.0,8.938828429149111e-05
gemini,stocks,stocks_COST,2026-03-26,2026-03-27,,USD,985.5100708007812,,985.51,981.57,989.45,975.65,995.37,970.73,1000.29,,,,
gemini,stocks,stocks_GOOGL,2026-03-25,2026-03-26,2026-03-26,USD,289.92999267578125,283.0357971191406,289.93,287.49,292.37,285.28,294.58,283.97,295.89,0.0,0.0,0.0,0.000565433883577965
gemini,stocks,stocks_GOOGL,2026-03-26,2026-03-27,,USD,283.8800048828125,,283.88,280.05,287.71,276.6,291.16,274.54,293.22,,,,
gemini,stocks,stocks_JNJ,2026-03-25,2026-03-26,2026-03-26,USD,240.4250030517578,241.4199981689453,240.43,239.23,241.63,238.03,242.83,236.82,244.04,1.0,1.0,1.0,1.6955457875828665e-05
gemini,stocks,stocks_JNJ,2026-03-26,2026-03-27,,USD,241.4499969482422,,241.45,240.15,242.75,238.97,243.93,238.27,244.63,,,,
gemini,stocks,stocks_JPM,2026-03-25,2026-03-26,2026-03-26,USD,295.130615234375,291.1724853515625,295.25,293.77,296.73,292.42,298.08,291.62,298.88,0.0,0.0,0.0,0.00019088092613794784
gemini,stocks,stocks_JPM,2026-03-26,2026-03-27,,USD,292.31500244140625,,292.32,290.1,294.54,288.08,296.56,286.82,297.75,,,,
gemini,stocks,stocks_LLY,2026-03-25,2026-03-26,2026-03-26,USD,913.64501953125,904.9500122070312,913.65,907.49,919.81,901.94,925.36,898.62,928.68,0.0,1.0,1.0,9.067390178593994e-05
gemini,stocks,stocks_LLY,2026-03-26,2026-03-27,,USD,906.010009765625,,906.01,896.34,915.68,887.75,924.27,882.2,929.58,,,,
gemini,stocks,stocks_MA,2026-03-25,2026-03-26,2026-03-26,USD,501.5910034179688,500.5700073242188,501.59,499.08,504.1,496.57,506.61,494.07,509.11,1.0,1.0,1.0,4.135182010328969e-06
gemini,stocks,stocks_MA,2026-03-26,2026-03-27,,USD,501.3200073242188,,501.62,496.9,506.27,492.36,510.55,489.2,513.16,,,,
gemini,stocks,stocks_META,2026-03-25,2026-03-26,2026-03-26,USD,594.530029296875,551.8800048828125,594.8,586.71,602.89,579.44,610.16,575.06,614.54,0.0,0.0,0.0,0.005211607938379783
gemini,stocks,stocks_META,2026-03-26,2026-03-27,,USD,551.4400024414062,,551.44,545.87,557.01,540.83,562.05,537.84,565.04,,,,
gemini,stocks,stocks_MSFT,2026-03-25,2026-03-26,2026-03-26,USD,369.6700134277344,368.5499877929688,369.67,367.18,372.16,364.93,374.41,363.59,375.75,1.0,1.0,1.0,9.179458560304992e-06
gemini,stocks,stocks_MSFT,2026-03-26,2026-03-27,,USD,367.94720458984375,,367.95,366.45,369.45,364.45,371.45,362.45,373.45,,,,
gemini,stocks,stocks_MU,2026-03-25,2026-03-26,2026-03-26,USD,378.0255126953125,359.5299072265625,378.03,374.21,381.85,370.76,385.3,368.71,387.35,0.0,0.0,0.0,0.002395000400764094
gemini,stocks,stocks_MU,2026-03-26,2026-03-27,,USD,361.3250122070313,,361.33,355.94,366.72,351.07,371.59,348.17,374.49,,,,
gemini,stocks,stocks_NVDA,2026-03-25,2026-03-26,2026-03-26,USD,177.9600067138672,173.61000061035156,178.2,177.4,179.0,176.2,180.2,174.7,181.7,0.0,0.0,0.0,0.0006652431765481955
gemini,stocks,stocks_NVDA,2026-03-26,2026-03-27,,USD,173.73500061035156,,173.74,170.22,177.25,167.09,180.42,165.11,182.32,,,,
gemini,stocks,stocks_QQQ,2026-03-25,2026-03-26,2026-03-26,USD,586.6300048828125,577.97998046875,586.63,581.67,591.64,577.07,596.19,574.67,598.92,0.0,1.0,1.0,0.0002174230737965637
gemini,stocks,stocks_QQQ,2026-03-26,2026-03-27,,USD,578.6600952148438,,578.95,573.55,584.35,568.7,589.2,565.79,592.11,,,,
gemini,stocks,stocks_SPY,2026-03-25,2026-03-26,2026-03-26,USD,655.9299926757812,648.77001953125,655.93,651.51,660.35,647.52,664.34,645.14,666.72,0.0,1.0,1.0,0.00011915401913624933
gemini,stocks,stocks_SPY,2026-03-26,2026-03-27,,USD,649.5,,649.82,645.44,654.2,641.49,658.15,639.13,660.51,,,,
gemini,stocks,stocks_TSLA,2026-03-25,2026-03-26,2026-03-26,USD,385.2300109863281,377.0899963378906,385.35,381.46,389.24,377.94,392.76,375.84,394.86,0.0,0.0,1.0,0.00045974842866654877
gemini,stocks,stocks_TSLA,2026-03-26,2026-03-27,,USD,377.6210021972656,,377.62,373.84,381.4,368.18,387.06,358.74,396.5,,,,
gemini,stocks,stocks_V,2026-03-25,2026-03-26,2026-03-26,USD,304.44000244140625,304.6099853515625,304.44,301.98,306.9,299.76,309.12,298.43,310.45,1.0,1.0,1.0,3.1175940367574815e-07
gemini,stocks,stocks_V,2026-03-26,2026-03-27,,USD,304.54998779296875,,304.55,302.27,306.83,299.98,309.12,296.94,312.16,,,,
gemini,stocks,stocks_WMT,2026-03-25,2026-03-26,2026-03-26,USD,123.2822036743164,122.8000030517578,123.28,123.08,123.48,122.78,123.78,122.28,124.28,0.0,1.0,1.0,1.5159196230052107e-05
gemini,stocks,stocks_WMT,2026-03-26,2026-03-27,,USD,123.12000274658205,,123.35,123.15,123.55,122.8,123.9,122.45,124.25,,,,
gemini,stocks,stocks_XOM,2026-03-25,2026-03-26,2026-03-26,USD,163.6649932861328,165.0,163.66,162.43,164.89,160.39,166.93,158.75,168.57,0.0,1.0,1.0,6.703444262841855e-05
gemini,stocks,stocks_XOM,2026-03-26,2026-03-27,,USD,164.8800048828125,,164.88,163.21,166.55,161.71,168.05,160.81,168.95,,,,
gemini,weather,weather_Atlanta_GA,2026-03-25,2026-03-26,2026-03-26,°F,66.0,80.2,80.0,78.5,81.5,77.0,83.0,75.5,84.5,1.0,1.0,1.0,9.182736455463988e-06
gemini,weather,weather_Atlanta_GA,2026-03-26,2026-03-27,,°F,80.3,,83.0,81.3,84.7,79.8,86.2,78.9,87.1,,,,
gemini,weather,weather_Austin_TX,2026-03-25,2026-03-26,2026-03-26,°F,87.4,87.1,85.0,83.0,87.0,82.0,88.0,81.0,89.0,0.0,1.0,1.0,0.000577318831852287
gemini,weather,weather_Austin_TX,2026-03-26,2026-03-27,,°F,86.7,,86.0,84.5,87.5,83.0,89.0,82.0,90.0,,,,
gemini,weather,weather_Boston_MA,2026-03-25,2026-03-26,2026-03-26,°F,52.9,66.3,67.0,65.0,69.0,63.0,71.0,62.0,72.0,1.0,1.0,1.0,0.00017509943146286783
gemini,weather,weather_Boston_MA,2026-03-26,2026-03-27,,°F,66.1,,53.0,51.0,55.0,49.0,57.0,48.0,58.0,,,,
gemini,weather,weather_Charlotte_NC,2026-03-25,2026-03-26,2026-03-26,°F,65.9,78.3,78.0,76.0,80.0,74.0,82.0,73.0,83.0,1.0,1.0,1.0,2.0723909174013667e-05
gemini,weather,weather_Charlotte_NC,2026-03-26,2026-03-27,,°F,78.2,,87.0,85.5,88.5,84.0,90.0,82.5,91.5,,,,
gemini,weather,weather_Chicago_IL,2026-03-25,2026-03-26,2026-03-26,°F,72.1,67.3,58.0,55.6,60.4,53.5,62.5,52.2,63.8,0.0,0.0,0.0,0.016637779628771096
gemini,weather,weather_Chicago_IL,2026-03-26,2026-03-27,,°F,68.2,,38.0,35.3,40.7,32.9,43.1,31.4,44.6,,,,
gemini,weather,weather_Cincinnati_OH,2026-03-25,2026-03-26,2026-03-26,°F,72.8,82.4,82.0,80.0,84.0,78.0,86.0,77.0,87.0,1.0,1.0,1.0,3.0189590629151932e-05
gemini,weather,weather_Cincinnati_OH,2026-03-26,2026-03-27,,°F,81.8,,70.0,67.3,72.7,64.87,75.13,63.42,76.58,,,,
gemini,weather,weather_Columbus_OH,2026-03-25,2026-03-26,2026-03-26,°F,68.3,79.3,77.0,75.0,79.0,73.0,81.0,71.0,83.0,0.0,1.0,1.0,0.001134003159774397
gemini,weather,weather_Columbus_OH,2026-03-26,2026-03-27,,°F,79.3,,56.0,53.5,58.5,51.0,61.0,49.0,63.0,,,,
gemini,weather,weather_Dallas_TX,2026-03-25,2026-03-26,2026-03-26,°F,83.0,85.7,84.0,82.5,85.5,81.0,87.0,79.5,88.5,0.0,1.0,1.0,0.00041950936275221513
gemini,weather,weather_Dallas_TX,2026-03-26,2026-03-27,,°F,85.1,,74.0,72.0,76.0,70.0,78.0,68.0,80.0,,,,
gemini,weather,weather_Denver_CO,2026-03-25,2026-03-26,2026-03-26,°F,89.5,80.5,86.0,84.0,88.0,82.0,90.0,80.0,92.0,0.0,0.0,1.0,0.003776411472800474
gemini,weather,weather_Denver_CO,2026-03-26,2026-03-27,,°F,80.8,,56.0,54.0,58.0,51.0,61.0,49.0,63.0,,,,
gemini,weather,weather_Houston_TX,2026-03-25,2026-03-26,2026-03-26,°F,80.0,82.0,81.0,79.0,83.0,77.0,85.0,76.0,86.0,1.0,1.0,1.0,0.00015625000000000003
gemini,weather,weather_Houston_TX,2026-03-26,2026-03-27,,°F,81.0,,83.0,81.7,84.3,80.4,85.6,79.7,86.3,,,,
gemini,weather,weather_Indianapolis_IN,2026-03-25,2026-03-26,2026-03-26,°F,71.8,83.2,84.0,82.5,85.5,80.5,87.5,79.5,88.5,1.0,1.0,1.0,0.00012414552959706928
gemini,weather,weather_Indianapolis_IN,2026-03-26,2026-03-27,,°F,83.7,,58.0,55.6,60.4,53.5,62.5,52.2,63.8,,,,
gemini,weather,weather_Kansas-City_MO,2026-03-25,2026-03-26,2026-03-26,°F,85.7,92.3,92.0,90.0,94.0,88.0,96.0,87.0,97.0,1.0,1.0,1.0,1.2254084354393333e-05
gemini,weather,weather_Kansas-City_MO,2026-03-26,2026-03-27,,°F,92.4,,58.0,55.0,61.0,52.0,64.0,50.5,65.5,,,,
gemini,weather,weather_Las-Vegas_NV,2026-03-25,2026-03-26,2026-03-26,°F,98.1,95.1,94.0,92.0,96.0,90.0,98.0,89.0,99.0,1.0,1.0,1.0,0.00012573244343858363
gemini,weather,weather_Las-Vegas_NV,2026-03-26,2026-03-27,,°F,94.7,,94.0,91.6,96.4,89.5,98.5,88.2,99.8,,,,
gemini,weather,weather_Los-Angeles_CA,2026-03-25,2026-03-26,2026-03-26,°F,78.6,83.9,82.0,80.0,84.0,79.0,85.0,77.0,87.0,1.0,1.0,1.0,0.0005843352821967157
gemini,weather,weather_Los-Angeles_CA,2026-03-26,2026-03-27,,°F,84.2,,82.0,80.5,83.5,79.0,85.0,78.0,86.0,,,,
gemini,weather,weather_Memphis_TN,2026-03-25,2026-03-26,2026-03-26,°F,81.7,84.6,85.0,83.7,86.3,82.4,87.6,81.7,88.3,1.0,1.0,1.0,2.397043247154703e-05
gemini,weather,weather_Memphis_TN,2026-03-26,2026-03-27,,°F,84.6,,69.0,66.3,71.7,63.9,74.1,62.4,75.6,,,,
gemini,weather,weather_Miami_FL,2026-03-25,2026-03-26,2026-03-26,°F,80.2,80.7,80.0,78.3,81.7,76.8,83.2,75.9,84.1,1.0,1.0,1.0,7.618111827662826e-05
gemini,weather,weather_Miami_FL,2026-03-26,2026-03-27,,°F,81.1,,76.0,74.2,77.8,72.7,79.3,71.7,80.3,,,,
gemini,weather,weather_Minneapolis_MN,2026-03-25,2026-03-26,2026-03-26,°F,73.7,54.4,54.0,52.0,56.0,50.2,57.8,49.1,58.9,1.0,1.0,1.0,2.9456762075891453e-05
gemini,weather,weather_Minneapolis_MN,2026-03-26,2026-03-27,,°F,54.4,,34.0,31.0,37.0,28.0,40.0,26.0,42.0,,,,
gemini,weather,weather_Nashville_TN,2026-03-25,2026-03-26,2026-03-26,°F,74.6,83.7,84.0,82.0,86.0,80.0,88.0,79.0,89.0,1.0,1.0,1.0,1.617204177418049e-05
gemini,weather,weather_Nashville_TN,2026-03-26,2026-03-27,,°F,83.6,,71.0,68.3,73.7,65.9,76.1,64.4,77.6,,,,
gemini,weather,weather_New-Orleans_LA,2026-03-25,2026-03-26,2026-03-26,°F,82.8,85.3,78.0,76.3,79.7,74.8,81.2,73.9,82.1,0.0,0.0,0.0,0.007772935191019623
gemini,weather,weather_New-Orleans_LA,2026-03-26,2026-03-27,,°F,85.5,,82.0,80.0,84.0,78.2,85.8,77.1,86.9,,,,
gemini,weather,weather_New-York_NY,2026-03-25,2026-03-26,2026-03-26,°F,53.7,76.2,76.0,74.0,78.0,72.0,80.0,71.0,81.0,1.0,1.0,1.0,1.3871116520846948e-05
gemini,weather,weather_New-York_NY,2026-03-26,2026-03-27,,°F,75.9,,63.0,60.5,65.5,58.5,67.5,57.0,69.0,,,,
gemini,weather,weather_Philadelphia_PA,2026-03-25,2026-03-26,2026-03-26,°F,57.7,77.7,76.0,73.0,79.0,71.0,81.0,69.0,83.0,1.0,1.0,1.0,0.0008680529482262011
gemini,weather,weather_Philadelphia_PA,2026-03-26,2026-03-27,,°F,77.8,,69.0,66.0,72.0,64.0,74.0,62.0,76.0,,,,
gemini,weather,weather_Phoenix_AZ,2026-03-25,2026-03-26,2026-03-26,°F,98.2,99.8,99.0,97.0,101.0,96.0,103.0,94.0,104.0,1.0,1.0,1.0,6.636773532547106e-05
gemini,weather,weather_Phoenix_AZ,2026-03-26,2026-03-27,,°F,99.8,,102.0,100.3,103.7,98.8,105.2,97.9,106.1,,,,
gemini,weather,weather_Pittsburgh_PA,2026-03-25,2026-03-26,2026-03-26,°F,65.6,77.0,68.0,67.0,69.0,65.0,71.0,64.0,72.0,0.0,0.0,0.0,0.018822501487209996
gemini,weather,weather_Pittsburgh_PA,2026-03-26,2026-03-27,,°F,77.2,,60.0,57.0,63.0,55.0,65.0,53.0,67.0,,,,
gemini,weather,weather_Portland_OR,2026-03-25,2026-03-26,2026-03-26,°F,53.5,51.6,50.0,48.0,52.0,46.0,54.0,45.0,55.0,1.0,1.0,1.0,0.0008944012577517702
gemini,weather,weather_Portland_OR,2026-03-26,2026-03-27,,°F,51.7,,58.0,57.0,59.0,55.0,61.0,54.0,62.0,,,,
gemini,weather,weather_Salt-Lake-City_UT,2026-03-25,2026-03-26,2026-03-26,°F,84.0,65.9,63.0,60.0,66.0,58.0,68.0,56.0,70.0,1.0,1.0,1.0,0.0011918934240362855
gemini,weather,weather_Salt-Lake-City_UT,2026-03-26,2026-03-27,,°F,65.9,,72.0,69.5,74.5,67.5,76.5,66.0,78.0,,,,
gemini,weather,weather_San-Antonio_TX,2026-03-25,2026-03-26,2026-03-26,°F,87.7,88.0,86.0,84.0,88.0,82.0,90.0,81.0,91.0,1.0,1.0,1.0,0.0005200688051029152
gemini,weather,weather_San-Antonio_TX,2026-03-26,2026-03-27,,°F,88.0,,88.0,86.0,90.0,84.0,92.0,83.0,93.0,,,,
gemini,weather,weather_San-Diego_CA,2026-03-25,2026-03-26,2026-03-26,°F,75.5,80.0,75.0,73.3,76.7,71.8,78.2,70.9,79.1,0.0,0.0,0.0,0.004385772553835359
gemini,weather,weather_San-Diego_CA,2026-03-26,2026-03-27,,°F,80.1,,76.0,74.3,77.7,72.8,79.2,71.9,80.1,,,,
gemini,weather,weather_San-Francisco_CA,2026-03-25,2026-03-26,2026-03-26,°F,69.6,73.4,72.0,70.0,74.0,68.2,75.8,67.1,76.9,1.0,1.0,1.0,0.00040461091293434077
